hh_id,name,link,sal_min,sal_max,valuta
46672741,Продавец-стилист в мужской бутик одежды (luxury),https://spb.hh.ru/vacancy/46672741?from=vacancy_search_list&query=%D0%BC%D0%BE%D0%B4%D0%B5%D0%BB%D1%8C,20000,50000,грн.
46832953,Хостес (party-gerl),https://spb.hh.ru/vacancy/46832953?from=vacancy_search_list&query=%D0%BC%D0%BE%D0%B4%D0%B5%D0%BB%D1%8C,,,
47117841,Продавец-консультант магазина свадебных платьев,https://spb.hh.ru/vacancy/47117841?from=vacancy_search_list&query=%D0%BC%D0%BE%D0%B4%D0%B5%D0%BB%D1%8C,35000,50000,руб.
47218306,Продавец-консультант/Стилист-консультант,https://spb.hh.ru/vacancy/47218306?from=vacancy_search_list&query=%D0%BC%D0%BE%D0%B4%D0%B5%D0%BB%D1%8C,,,
40827217,Специалист по размещению объявлений (фотограф),https://spb.hh.ru/vacancy/40827217?from=vacancy_search_list&query=%D0%BC%D0%BE%D0%B4%D0%B5%D0%BB%D1%8C,,,
47285372,Модельщик выплавляемых моделей,https://spb.hh.ru/vacancy/47285372?from=vacancy_search_list&query=%D0%BC%D0%BE%D0%B4%D0%B5%D0%BB%D1%8C,18100,27000,руб.
47307721,Начинающий специалист (удаленно),https://spb.hh.ru/vacancy/47307721?from=vacancy_search_list&query=%D0%BC%D0%BE%D0%B4%D0%B5%D0%BB%D1%8C,,,
46584191,Продавец-консультант в свадебный салон,https://spb.hh.ru/vacancy/46584191?from=vacancy_search_list&query=%D0%BC%D0%BE%D0%B4%D0%B5%D0%BB%D1%8C,50000,70000,руб.
46166525,Продавец-консультант в магазин детской обуви Котофей (ТЦ Галерея),https://spb.hh.ru/vacancy/46166525?from=vacancy_search_list&query=%D0%BC%D0%BE%D0%B4%D0%B5%D0%BB%D1%8C,,,
47035825,Дизайнер одежды,https://spb.hh.ru/vacancy/47035825?from=vacancy_search_list&query=%D0%BC%D0%BE%D0%B4%D0%B5%D0%BB%D1%8C,,,
47243924,Продавец-консультант в магазин одежды премиум класса,https://spb.hh.ru/vacancy/47243924?from=vacancy_search_list&query=%D0%BC%D0%BE%D0%B4%D0%B5%D0%BB%D1%8C,30000,50000,руб.
46896721,Конструктор женской одежды,https://spb.hh.ru/vacancy/46896721?from=vacancy_search_list&query=%D0%BC%D0%BE%D0%B4%D0%B5%D0%BB%D1%8C,,,
47306394,Администратор студии красоты,https://spb.hh.ru/vacancy/47306394?from=vacancy_search_list&query=%D0%BC%D0%BE%D0%B4%D0%B5%D0%BB%D1%8C,30000,40000,руб.
46652717,"Продавец-консультант в бутик Italian sunrise (р-он ТЦ ""Галерея"")",https://spb.hh.ru/vacancy/46652717?from=vacancy_search_list&query=%D0%BC%D0%BE%D0%B4%D0%B5%D0%BB%D1%8C,40000,70000,руб.
47327808,Дизайнер женской одежды,https://spb.hh.ru/vacancy/47327808?from=vacancy_search_list&query=%D0%BC%D0%BE%D0%B4%D0%B5%D0%BB%D1%8C,80000,90000,руб.
47252765,Модернист,https://spb.hh.ru/vacancy/47252765?from=vacancy_search_list&query=%D0%BC%D0%BE%D0%B4%D0%B5%D0%BB%D1%8C,30000,80000,руб.
46872518,Продавец-консультант в бутик женской одежды,https://spb.hh.ru/vacancy/46872518?from=vacancy_search_list&query=%D0%BC%D0%BE%D0%B4%D0%B5%D0%BB%D1%8C,26000,42000,руб.
46619369,Администратор в школу маникюра,https://spb.hh.ru/vacancy/46619369?from=vacancy_search_list&query=%D0%BC%D0%BE%D0%B4%D0%B5%D0%BB%D1%8C,50000,50000,руб.
47263003,Администратор салона красоты,https://spb.hh.ru/vacancy/47263003?from=vacancy_search_list&query=%D0%BC%D0%BE%D0%B4%D0%B5%D0%BB%D1%8C,45000,60000,руб.
47315775,Ретушер,https://spb.hh.ru/vacancy/47315775?from=vacancy_search_list&query=%D0%BC%D0%BE%D0%B4%D0%B5%D0%BB%D1%8C,25000,50000,руб.
46970758,Администратор-кассир детской игровой площадки LEGO Город,https://spb.hh.ru/vacancy/46970758?from=vacancy_search_list&query=%D0%BC%D0%BE%D0%B4%D0%B5%D0%BB%D1%8C,,,
38700487,Дизайнер одежды,https://spb.hh.ru/vacancy/38700487?from=vacancy_search_list&query=%D0%BC%D0%BE%D0%B4%D0%B5%D0%BB%D1%8C,,,
46906983,Дизайнер женской одежды в бренд SELFMADE,https://spb.hh.ru/vacancy/46906983?from=vacancy_search_list&query=%D0%BC%D0%BE%D0%B4%D0%B5%D0%BB%D1%8C,,,
46760916,Бизнес ассистент руководителя,https://spb.hh.ru/vacancy/46760916?from=vacancy_search_list&query=%D0%BC%D0%BE%D0%B4%D0%B5%D0%BB%D1%8C,30000,50000,руб.
47291866,Промоутер,https://spb.hh.ru/vacancy/47291866?from=vacancy_search_list&query=%D0%BC%D0%BE%D0%B4%D0%B5%D0%BB%D1%8C,,,
47277255,Контент продюсер,https://spb.hh.ru/vacancy/47277255?from=vacancy_search_list&query=%D0%BC%D0%BE%D0%B4%D0%B5%D0%BB%D1%8C,,,
47178540,Контент-менеджер в Мебель на заказ,https://spb.hh.ru/vacancy/47178540?from=vacancy_search_list&query=%D0%BC%D0%BE%D0%B4%D0%B5%D0%BB%D1%8C,25000,40000,руб.
